year,importer,exporter,import_in_us_billion,import_spike_next_year,import_dip_next_year,exporter_region,importer_region
1994,Venezuela,Poland,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Poland,0.01,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Poland,0.01,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Poland,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Poland,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Poland,0.04,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Poland,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Poland,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Poland,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Poland,0.01,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Poland,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Poland,0.05,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Poland,0.04,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Poland,0.07,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Poland,0.09,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Poland,0.01,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Poland,0.03,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Poland,0.03,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Poland,0.11,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Poland,0.09,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Poland,0.09,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Austria,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Austria,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Austria,0.09,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Austria,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Austria,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Austria,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Austria,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Austria,0.07,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Austria,0.02,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Austria,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Austria,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Austria,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Austria,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Austria,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Austria,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Austria,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Austria,0.21,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Austria,0.13,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Austria,0.22,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Hungary,0.0,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Hungary,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Hungary,0.01,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Hungary,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Hungary,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Hungary,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Hungary,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Hungary,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Hungary,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Hungary,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Hungary,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Czech Republic,0.01,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Czech Republic,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Czech Republic,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Czech Republic,0.03,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Czech Republic,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Czech Republic,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Czech Republic,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Slovakia,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Slovakia,0.0,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Slovakia,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Slovakia,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Slovakia,0.0,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Slovakia,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Slovakia,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Slovakia,0.01,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Slovakia,0.0,0,1,EASTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Slovakia,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Slovakia,0.0,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Slovakia,0.07,1,0,EASTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Slovakia,0.02,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Slovakia,0.01,0,0,EASTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Italy,0.52,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Italy,0.67,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Italy,0.59,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Italy,0.3,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Italy,0.32,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Italy,0.32,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Italy,0.48,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Italy,0.56,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Italy,0.74,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Italy,0.68,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Italy,0.61,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Italy,0.55,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Italy,0.26,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Italy,0.43,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Italy,0.5,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Italy,0.67,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Italy,0.94,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Italy,1.09,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Italy,0.88,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Italy,0.66,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Italy,0.59,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Italy,1.54,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Italy,1.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Italy,0.92,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Greece,0.0,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Greece,0.0,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Greece,0.0,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Greece,0.01,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Greece,0.01,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Greece,0.0,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Greece,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1992,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1993,Venezuela,Russia,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1994,Venezuela,Russia,0.0,0,1,C.W. OF IND. STATES,LATIN AMER. & CARIB
1995,Venezuela,Russia,0.01,1,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1996,Venezuela,Russia,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1997,Venezuela,Russia,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1998,Venezuela,Russia,0.02,1,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1999,Venezuela,Russia,0.0,0,1,C.W. OF IND. STATES,LATIN AMER. & CARIB
2000,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2001,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2002,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2003,Venezuela,Russia,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2004,Venezuela,Russia,0.03,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2005,Venezuela,Russia,0.01,0,1,C.W. OF IND. STATES,LATIN AMER. & CARIB
2006,Venezuela,Russia,0.06,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2007,Venezuela,Russia,0.4,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2008,Venezuela,Russia,0.23,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2009,Venezuela,Russia,0.15,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2010,Venezuela,Russia,0.11,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2011,Venezuela,Russia,0.17,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2012,Venezuela,Russia,2.14,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2013,Venezuela,Russia,2.69,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2014,Venezuela,Russia,1.34,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1993,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1994,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1995,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1996,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1997,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1998,Venezuela,Ukraine,0.01,1,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1999,Venezuela,Ukraine,0.0,0,1,C.W. OF IND. STATES,LATIN AMER. & CARIB
2000,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2001,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2002,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2003,Venezuela,Ukraine,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2004,Venezuela,Ukraine,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2005,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2006,Venezuela,Ukraine,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2007,Venezuela,Ukraine,0.04,1,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2008,Venezuela,Ukraine,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2009,Venezuela,Ukraine,0.01,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2010,Venezuela,Ukraine,0.0,0,1,C.W. OF IND. STATES,LATIN AMER. & CARIB
2011,Venezuela,Ukraine,0.02,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2012,Venezuela,Ukraine,0.03,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2013,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
2014,Venezuela,Ukraine,0.0,0,0,C.W. OF IND. STATES,LATIN AMER. & CARIB
1991,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Finland,0.01,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Finland,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Finland,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Finland,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Finland,0.05,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Finland,0.02,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Finland,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Finland,0.08,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Finland,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Finland,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Finland,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Finland,0.1,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Finland,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Finland,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Finland,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Finland,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Finland,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Finland,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Finland,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Sweden,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Sweden,0.1,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Sweden,0.07,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Sweden,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Sweden,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Sweden,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Sweden,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Sweden,0.11,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Sweden,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Sweden,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Sweden,0.07,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Sweden,0.07,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Sweden,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Sweden,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Sweden,0.1,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Sweden,0.1,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Sweden,0.15,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Sweden,0.14,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Sweden,0.19,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Sweden,0.09,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Sweden,0.07,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Sweden,0.16,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Sweden,0.08,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Sweden,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Norway,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Norway,0.02,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Norway,0.01,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Norway,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Norway,0.03,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Norway,0.01,0,1,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Norway,0.08,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Norway,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2008,Venezuela,Norway,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2009,Venezuela,Norway,0.02,1,0,WESTERN EUROPE,LATIN AMER. & CARIB
2010,Venezuela,Norway,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2011,Venezuela,Norway,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2012,Venezuela,Norway,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2013,Venezuela,Norway,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2014,Venezuela,Norway,0.01,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1991,Venezuela,Denmark,0.05,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1992,Venezuela,Denmark,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1993,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1994,Venezuela,Denmark,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1995,Venezuela,Denmark,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1996,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1997,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1998,Venezuela,Denmark,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
1999,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2000,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2001,Venezuela,Denmark,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2002,Venezuela,Denmark,0.04,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2003,Venezuela,Denmark,0.03,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2004,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2005,Venezuela,Denmark,0.02,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2006,Venezuela,Denmark,0.09,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
2007,Venezuela,Denmark,0.06,0,0,WESTERN EUROPE,LATIN AMER. & CARIB
